WordID	MnID	Wd	SoundFile	PoS	Stem	Accent	Category	Description	Variation	RelatedWords	ExampleSentence																	
34		あい	ikmvoc_34.wav	動詞	母音語幹	C		和える			あい　じゅー（和えた野菜）。	んーぎーぬ　はーゆ　あいー　まくぶなますてぃー　ふぁう（芋の葉をあえてブダイの刺身として食べる）。																
35		あい　あっそぅ	ikmvoc_35.wav	成句				そうしなさい	あいっそぅ、あやっそぅ		しーしーが　あすがにゃーん　あい　あっそう（先生がやる通り、そうしなさい［＞やる通りにやりなさい］）。																	
36		あい　あらだ	ikmvoc_36.wav	成句				そうではなくて、逆に		かい　あらだ	うぬ　くとぅー　あいや　あらだ　じょ　かい　ほぅでぃ（そのことはそうじゃなくて、こうしよう）。	うらー　あい　あらだ、かいぬ　くとぅちゃ（それはそうではなくて、こうらしい）。																
37		あい　あり	ikmvoc_37.wav	成句				すこしして、すこし時間がたってから；目的地まで行くのにすこし時間がかかる			あいや　ありどぅ　かでぃふつぬ　かいすかじゃー　ふつ（すこし間があってから台風の返しの風は吹く）。	きゅーや　あみ　やいば　すかまうぎゃー　あい　ありーからどぅ　すきゃきでぃ（今日は雨だから仕事をもう少ししてから始めよう）。	っさらんかいや　あい　ありどぅ　いきゅーたい（平良に行くのはある程度時間がかかった）。	いきまたーひや　ふにひー　あい　ありどぅ　いかいー（池間までは舟である程度時間をかけないと行けない［＜ある程度時間をかけて（はじめて）いける］）。														
38	1	あい1	ikmvoc_38.wav	動詞	不規則動詞	C		存在動詞、「ある」。「あい」は、本来連体形であるが、焦点助詞「どぅ」がある文では終止形として使われる。焦点助詞がない文では普通「あり」が終止形として使われる。過去形は「あたい」、否定形は「にゃーん」		あり	あかいらうっちゃ　びゅーい　むぬまいどぅ　あい（アカイラウツは毒のあるものもある）。	うたきんな　かうるぬどぅ　あい（ウタキには香炉がある）。	かぬきゃが　まいんどぅ　んまむぬぬ　あい（あの人たちの所にご馳走がある）。															
38	2	あい1	ikmvoc_38.wav	補助動詞	不規則動詞			（連用形について）ある状態になっていることを示す「～てある、～た」［共通語の「てある」と違い、意志的な動作でなくても使え、「前もって準備のために～してある」という意味はない］			きーゆ　たうひーあい（木をたおしてある）。	やーんかい　ばーっしゃー　むぬー　とぅいが　いつ（家に忘れ物を取りに行く［ばっしゃー＝ばっし＋あい］）。	うらー　ばが　っちゃーい　っぞぅ（これは私が釣った魚だ［っちー＋あい＝っちゃーい］）。	やーぬ　かぎゃー　んじゃんかい　うきゃーががら　むいとぅ　とぅみらいん（家の鍵はどこに置いたのか全然見つからない［うきゃー＝うき＋あい］）。	きゅーや　うまんかい　っちゃー　かいや　ありーどぅー（ここに来たかいがある［っちゃー＝ってぃ（来る）＋あい］）。													
39	1	あい2	ikmvoc_39.wav	動詞	r/rr語幹	C		（人が）あばれる		あり	やらびんみゃー　やーぬ　なかん　ありーどぅー（子供たちは家の中で暴れまわっている）。																	
39	2	あい2	ikmvoc_39.wav	動詞	r/rr語幹	C		（生き物が）餌を求めて激しく集まる		あり	うぬ　っぞぅー　うぬ　びじゅんかいどぅ　うんそぅく　あい（この魚はこの餌にとてもあばれる［＞良くくいつく］）。	びーやぬどぅ　っさりむぬんかい　ありゅー（ゴキブリが腐ったものに集まっている）。	くぬいぬ　やらびんみゃー　あかばたういんかいや　あらん（最近の子供たちはスイカには集まらない）。															
39	3	あい2	ikmvoc_39.wav	動詞	r/rr語幹	C		（海などが）荒れる		あり	きゅーぬ　いんな　ありーどぅー（今日の海は荒れている）。																	
40	1	あい3	ikmvoc_40.wav	動詞	zz語幹	A		言う　［否定形：あっじゃん、連用形：あっじ、命令形：あっじ、過去形：あいたい］	あっじ		ばが　なーゆぎゃー　まさいてぃどぅ　あい（私の名前はマサイと言います）。	っゔぁー　んなまー　なうてぃどぅ　あいたいが（あなたは今何と言ったのですか）。	っゔぁー　んなまー　なうががら　あいたいな（あなたは今何か言ったのですか）。	ばが　あいがにゃーん　あっじ（私の言うとおりに言いなさい）。	っゔぁが　なーや　あいぐりかいば　ならん（あなたの名前はとても言いにくい［＞発音しにくい］）。	っゔぁが　あっじゅーが　にゃーん（君の言う通りだ）。	むぬいゆ　あい（ものを言う）。											
40	2	あい3	ikmvoc_40.wav	動詞	zz語幹	A		（歌を）歌う［否定形：あっじゃん、連用形：あっじ、命令形：あっじ、過去形：あいたい］			さちこー　あーぐー　あい　むぬぬどぅ　うむっし（さちこは歌を歌うのが好きです）。	っゔぁが　んﾟぬ　あっじゅーたい　あーぐーぎゃー　なうてぃどぅ　あい（あなたが昨日歌っていた歌は何といいますか）。																
42		あいえいそぅが	ikmvoc_42.wav	接続詞				でも、しかし、そうだけれども	あいやいそぅが、あいやそぅが		あいえいそぅが　ばー　ほぅじゃーん（それはそうだけど、おれはやらない）。																	
43		あいえてぃがー	ikmvoc_43.wav	接続詞				そうだったら、それじゃあ	あいやてぃがー、やいてぃがー、やてぃがー、えてぃがー		A：あちゃー　かでぃふつちゃ。　B：あいえてぃがー　あちゃー　いきまー　いかいん（A：明日は台風だってさ。B：だったら明日は池間は行けない）。	あいえてぃがー　ばー　いかじゃーん（そうだったら私は行かない）。																
44		あいかい	ikmvoc_44.wav	副詞				あれこれ、あれこれと			あいかいぬ　はなっそぅ　あすたい（いろんな話をした）。	からー　ばが　すかまう　なうゆまい　あいかい　かしーや　ひーふぃーたい（彼は私の仕事をなんでもあれこれ手伝ってくれた）。																
45		あいがにゃーん	ikmvoc_45.wav	成句				（～の）言うとおり			ばが　あいがにゃーん　あっじ（私の言うとおり言いなさい）。	かいが　あいがにゃーん　あい　あっそぅ（あの人の言うとおりやりなさい）。	っゔぁが　あいがにゃーん　むぬいばどぅ　ばいかい（あなたの言うとおり話したら（事態は）悪くなるばかりだ）。															
46		あいぎだうり	ikmvoc_46.wav	感動詞			〘応答詞〙	〘応答詞〙そうらしい			A: からー　やみーどぅーちゃ　B: あいぎだうり（A: あいつは病気だって　B: そうらしいね）。																	
47		あいくとぅ　にゃーんくとぅ	ikmvoc_47.wav	成句				あることないこと			かりゃー　あいくとぅ　にゃーんくとぅー　なうまい　んなない　むぬっじゅーたい（あいつはあることないことを何もかも全て話した）。																	
48		あいたー	ikmvoc_48.wav	名詞				ハンセン氏病患者の蔑称、ライ病患者		くんきゃ、くんちゃ																		
49		あいだーだら	ikmvoc_49.wav	感動詞			〘応答詞〙	〘応答詞〙そうだ、そうなんだよ		あいだら	あいだーだら、っゔぁが　あっじゅーが　にゃーん（そうなんだよ、あなたの言っている通りだよ）。																	
51		あいだら	ikmvoc_51.wav	感動詞			〘応答詞〙	〘応答詞〙そうだ、そうなんだよ		あいだーだら	あいだら、っゔぁが　あっじゅーが　にゃーん（そうなんだよ、あなたの言っている通りだよ）。																	
